gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Kadın,İstanbul,Remote,250+,Full Stack Developer,Senior,5 - 7 Yıl,.Net,₺ - Türk Lirası,1,63.000 - 63.999
Erkek,İstanbul,Hibrit (Ofis + Remote),51 - 100 Kişi,Product Manager,Senior,7 - 10 Yıl,Python;SQL,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,İzmir,Hibrit (Ofis + Remote),51 - 100 Kişi,DevOps Engineer,Middle,7 - 10 Yıl,Php;NodeJS;Go,$ - Dolar,1,2.000 - 2.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Mobile Application Developer (iOS),Senior,5 - 7 Yıl,Swift,₺ - Türk Lirası,4,105.000 - 109.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Front-end Developer,Middle,3 - 5 Yıl,JavaScript | Html | Css;Vue,₺ - Türk Lirası,1,52.000 - 52.999
Erkek,İstanbul,Remote,250+,Team / Tech Lead,Middle,7 - 10 Yıl,JavaScript | Html | Css;React,₺ - Türk Lirası,2,115.000 - 119.999
Erkek,İstanbul,Remote,250+,Mobile Application Developer (Full Stack),Senior,1 - 3 Yıl,React Native,₺ - Türk Lirası,2,65.000 - 65.999
Erkek,Konya,Ofis,250+,Full Stack Developer,Middle,1 - 3 Yıl,.Net;JavaScript | Html | Css;React,₺ - Türk Lirası,1,38.000 - 38.999
Erkek,İstanbul,Remote,250+,Back-end Developer,Senior,7 - 10 Yıl,Java;Go,₺ - Türk Lirası,2,125.000 - 129.999
Erkek,Ankara,Ofis,11 - 20 Kişi,Full Stack Developer,Senior,12 - 14 Yıl,.Net,₺ - Türk Lirası,2,73.000 - 73.999
Erkek,* İngiltere,Remote,101 - 249 Kişi,Front-end Developer,Senior,7 - 10 Yıl,JavaScript | Html | Css,$ - Dolar,1,3.000 - 3.999
Erkek,İstanbul,Remote,250+,Back-end Developer,Senior,5 - 7 Yıl,.Net,₺ - Türk Lirası,2,85.000 - 89.999
Erkek,Ankara,Remote,6 - 10 Kişi,Full Stack Developer,Middle,3 - 5 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,1,36.000 - 36.999
Erkek,İstanbul,Remote,51 - 100 Kişi,Back-end Developer,Senior,7 - 10 Yıl,.Net,₺ - Türk Lirası,2,85.000 - 89.999
